clean_text,label,label_prediksi
game bagus karena saya selalu pikir sawit,positif,positif
gamenya jelek kurang hd bikin sakit mata,negatif,negatif
dev nya gabut ,positif,netral
tidak ad gibran ama bahlil tambahin  bg sama sahroni juga kalo bisa hehehehe,positif,negatif
agak bagus karena karakter kurang,positif,positif
seru banget tapi update game nya jadi lebih tantang agak lebih sulit,positif,netral
game nya seru tapi saat kita serang lawan nya langsung tidur jadi susah habisin darah kalo bos pas nyerang dikit dikit tidur jadi tolong ubah agar tidak begitu,positif,negatif
seru banget game,positif,positif
sangat seru,positif,positif
bagus,positif,positif
bagus gamenya tapi karakter tidak bisa beli pake iklan,positif,negatif
absolute cema buat developer nya,positif,netral
tambahin karakter bawa mbg,positif,positif
game ya bagus,positif,positif
game nya realistis seru banget buat belum main harus cobainkapan pagi liat wowo pukulin,positif,netral
ah terlalu gampang tapi gpp lumayan bagus saya ngakak pas pake jokowi terus nyerang nya ada pake sniper ,positif,netral
baru tau jokowi jadi mafia nanti update ya tambahin bahlil sama gibran kaisang request nanti bahlilnya jadi vampir penghisap etanol ya sama ada sawit juga oke segitu saja terimakasih,positif,positif
bagus  cuman lawan makin lama makin jago banyak tapi darah tidak bisa ngisi lagi padahal level nya susah sama lawan banyak mana level dikit lagi cuman tapi walaupun gitu tapi tetap seru  walaupun tidak bisa lari,positif,negatif
game jelek bos susah dikalahin toll,negatif,negatif
saya kasih bintang karena kalo pake jokowi enak bgtgw belum download jire,positif,negatif
game tidak kelas banyak iklan nya patah patah pulak jangan download jelek banget game nya,negatif,negatif
game nya sangat seru saya sampai bosan main nya saya kasih bintang lima karena ada jokowi,positif,positif
tidak bisa salto,negatif,netral
good game,positif,positif
ahok mirip bigmo,positif,positif
game nya jelek,negatif,negatif
game sangat rekomendasi ngabuburit hidup developer ,positif,positif
game gg semangat buat developers,positif,positif
game nya lumayan bagus betul saya habis tembok retapan solo telah pulang situ saya langsung donlot game sudah memainkanya kali hari habis sholat shubu maghrib moga terus konsisten moga saya dapat karomah keluarga yth bapak hj ir joko widodo,positif,positif
game nya sangat seru apalagi pria solo pria sawit op banget tapi agak tingkatin grafik ya,positif,positif
itu pria solo,negatif,positif
pel bikin game dua nya mana jokowi tarung hadap monster gorong gorong seperti tikus raksasa,positif,positif
game ngawu,positif,negatif
game asyik banget kalian wajib cobain  game nya,positif,negatif
tambahin bahlil bg sama latar tarung nya lahan sawit,positif,positif
tambahin bahlil armor etanol sama prabowo armor sawit,positif,positif
bagus bangat,positif,positif
bagus wajib coba,positif,positif
game nya simple tapi bikin nagih sumpah tapi saya tidak nemu tombol pause nyata ngepause nya pake tombol setting dong,positif,positif
anjir presiden bisa tarung njir,positif,positif
saya sudah namatin game jujur game seru tapi level buat lebih ngotak dulu gua make bodyguard masih kalah,positif,positif
game nya bagus ku kasih bintang lima,negatif,negatif
game nya molyono jir,positif,netral
pria solo bawa beceng baik  ku beri kau bintang lima,positif,negatif
wow jangan lupa tambah  fitur nanam sawit nya ya wok tambah  juga bahlil sudah saja wok,positif,positif
saya ngansik bintang karena bagus juga tidak selalu tidak iklan ,positif,negatif
game jelek lindung kita hilang kalau tinggal,negatif,negatif
paksa rate,negatif,positif
tambah karakter bahlil,positif,positif
seru banget gamenya walapun simpel tapi hd in dikit lagi grafik lebih sudah bagus kata saya,positif,positif
tambah bahlil bang,positif,positif
gang seru,positif,positif
saya sudah selesai semua level level kurang banyak tambahin  level gamenya seru bagus tapi level kok cuman sama tambahin final boss kek atau apa kurang tantang,positif,positif
hidup jokowii,positif,positif
game sangat bagus tapi tolong abdet lagi,positif,positif
gamenya tidak ngotak,negatif,negatif
saran saya si ni game bagus sebenernya tapi tambahin fitur semacem dash bisa dodge serang musuh gitu bagus harus stage saja saya kewalahan ngelawan musuh rame gitu soal animasi serang gabisa cancel ngebikin saya ditembakin mulu ampe mati,positif,netral
game nya bagus simple ramah seru cocok main sama sepupu tapi boonk,negatif,positif
bagus ada fufufafa tapi ada sahroni tidak mati mati,netral,positif
game nya bagus banget sumpahgua sampe tidak download,negatif,netral
bagus tapi kalo bisa pas musuh lempar belakang masih bisa pukul biar bisa combo kayak dmc  hebat sama juga bisa combo aerial juga pas lagi udara mwehehehehe,positif,netral
game nya sangat bagus saya ingin sol bagai rakyat biasa,positif,positif
game nya bagus banget bg jangan semangat ,negatif,positif
game apa rad banget jangan donglot bagi hapenya kentang btw bintang lima good game,negatif,negatif
lebih seru kalo gamenya bisa mabar,netral,positif
game nya bagus kece badai jadi saya kasih bintang karena saya siggma wing skibidiy ,negatif,positif
game nya seru tapi karakter kurang banyak coba tambahin lagi kaya bahlil dll pasti bagus tambahin lagi musuh nya kaya ambaruwo dlm,positif,positif
game nya bagus guwa kasih bintang plus sigma,negatif,negatif
bgus  tapi sayang grafik buriq kek ep ep,positif,positif
