clean_text,label
game bagus karena saya selalu pikir sawit,positif
gamenya jelek kurang hd bikin sakit mata,negatif
dev nya gabut ,positif
tidak ad gibran ama bahlil tambahin  bg sama sahroni juga kalo bisa hehehehe,positif
agak bagus karena karakter kurang,positif
seru banget tapi update game nya jadi lebih tantang agak lebih sulit,positif
game nya seru tapi saat kita serang lawan nya langsung tidur jadi susah habisin darah kalo bos pas nyerang dikit dikit tidur jadi tolong ubah agar tidak begitu,positif
seru banget game,positif
sangat seru,positif
bagus,positif
bagus gamenya tapi karakter tidak bisa beli pake iklan,positif
absolute cema buat developer nya,positif
tambahin karakter bawa mbg,positif
game ya bagus,positif
game nya realistis seru banget buat belum main harus cobainkapan pagi liat wowo pukulin,positif
ah terlalu gampang tapi gpp lumayan bagus saya ngakak pas pake jokowi terus nyerang nya ada pake sniper ,positif
baru tau jokowi jadi mafia nanti update ya tambahin bahlil sama gibran kaisang request nanti bahlilnya jadi vampir penghisap etanol ya sama ada sawit juga oke segitu saja terimakasih,positif
bagus  cuman lawan makin lama makin jago banyak tapi darah tidak bisa ngisi lagi padahal level nya susah sama lawan banyak mana level dikit lagi cuman tapi walaupun gitu tapi tetap seru  walaupun tidak bisa lari,positif
game jelek bos susah dikalahin toll,negatif
saya kasih bintang karena kalo pake jokowi enak bgtgw belum download jire,positif
game tidak kelas banyak iklan nya patah patah pulak jangan download jelek banget game nya,negatif
game nya sangat seru saya sampai bosan main nya saya kasih bintang lima karena ada jokowi,positif
tidak bisa salto,negatif
good game,positif
ahok mirip bigmo,positif
game nya jelek,negatif
game sangat rekomendasi ngabuburit hidup developer ,positif
game gg semangat buat developers,positif
game nya lumayan bagus betul saya habis tembok retapan solo telah pulang situ saya langsung donlot game sudah memainkanya kali hari habis sholat shubu maghrib moga terus konsisten moga saya dapat karomah keluarga yth bapak hj ir joko widodo,positif
game nya sangat seru apalagi pria solo pria sawit op banget tapi agak tingkatin grafik ya,positif
itu pria solo,negatif
pel bikin game dua nya mana jokowi tarung hadap monster gorong gorong seperti tikus raksasa,positif
game ngawu,positif
game asyik banget kalian wajib cobain  game nya,positif
tambahin bahlil bg sama latar tarung nya lahan sawit,positif
tambahin bahlil armor etanol sama prabowo armor sawit,positif
bagus bangat,positif
bagus wajib coba,positif
game nya simple tapi bikin nagih sumpah tapi saya tidak nemu tombol pause nyata ngepause nya pake tombol setting dong,positif
anjir presiden bisa tarung njir,positif
saya sudah namatin game jujur game seru tapi level buat lebih ngotak dulu gua make bodyguard masih kalah,positif
game nya bagus ku kasih bintang lima,negatif
game nya molyono jir,positif
pria solo bawa beceng baik  ku beri kau bintang lima,positif
wow jangan lupa tambah  fitur nanam sawit nya ya wok tambah  juga bahlil sudah saja wok,positif
saya ngansik bintang karena bagus juga tidak selalu tidak iklan ,positif
game jelek lindung kita hilang kalau tinggal,negatif
paksa rate,negatif
tambah karakter bahlil,positif
seru banget gamenya walapun simpel tapi hd in dikit lagi grafik lebih sudah bagus kata saya,positif
tambah bahlil bang,positif
gang seru,positif
saya sudah selesai semua level level kurang banyak tambahin  level gamenya seru bagus tapi level kok cuman sama tambahin final boss kek atau apa kurang tantang,positif
hidup jokowii,positif
game sangat bagus tapi tolong abdet lagi,positif
gamenya tidak ngotak,negatif
