ulasan,rating
game ini bagus karna aku selalu memikirkan sawit,5
gamenya burik kurang hd bikin sakit mata,2
Dev nya gabut 🗿,5
gak ad Gibran Ama Bahlil tambahin dong bg sama Sahroni juga kalo bisa hehehehe,5
agak bagus karena karakternya kurang,4
seru banget tapi update game nya jadi lebih menantang dan agak lebih sulit,5
game nya seru tapi saat kita serang lawan nya Langsung tiduran jadi susah habisin darahnya kalo yang bos pas nyerang dikit dikit tiduran jadi tolong ubah agar tidak begitu,4
seru banget game ini,5
sangat seru,5
mantap,5
bagus gamenya tapi karakter ndk bisa dibeli pake iklan,5
absolute cinema buat developer nya🖐️😐🖐️,5
tambahin karakter yg bawa MBG,5
game ya mantap,5
"game nya realistis dan seru bgt buat yg blm main harus cobain,kapan pagi liat wowo di pukulin",5
"ah terlalu gampang, tapi gpp lumayan bagus dan aku ngakak pas pake Jokowi terus nyerang nya ada yang pake sniper 🤣🤣",5
baru tau jokowi jadi mafia nanti update ya tambahin bahlil sama gibran dan kaisang request nanti bahlilnya jadi vampir penghisap etanol ya sama ada sawit juga okey segitu aja terimakasih,5
Bagus sih. Cuman lawannya makin lama makin jago dan banyak tapi darahnya gak bisa ngisi lagi padahal level nya susah sama lawannya banyak. Mana levelnya dikit lagi cuman 9. Tapi walaupun gitu tapi tetap seru sih walaupun gak bisa lari.,4
"game burik, bosnya susah dikalahin tol0l👹",1
gw kasih bintang 4 karna kalo pake jokowi enak bgt+gw blum download jire,4
game ga kelas banyak iklan nya patah patah pulak jangan di donlod jelek banget game nya,1
gem nya sangat seru saya sampai muak main nya saya kasih bintang lima karna ada jokowi,5
ga bisa salto,1
good game,5
ahok mirip bigmo,5
game nya jelek,1
GAME INI SANGAT DI REKOMENDASIKAN UNTUK NGABUBURIT HIDUP DEVELOPER 🙋,5
"game gg, semangat buat developers.",5
"game nya lumayan bagus, kebetulan saya habis dari tembok retapan solo, setelah pulang dari situ, saya langsung donlot gim ini dan sudah memainkanya 2 kali sehari sehabis sholat shubu dan maghrib dan semoga terus konsisten, semoga saya dapat karomah sekeluarga dari yth bapak hj. ir. joko widodo",4
game nya sangat seru apalagi pria solo dan pria sawit OP banget tapi agak di tingkatin grafiknya ya,5
itukan pria solo,1
pelis bikin game ke dua nya di mana Jokowi bertarung menghadapi monster gorong gorong seperti tikus raksasa,5
ini adalah game ngawu,5
game asyik banget. kalian wajib cobain sih game nya,5
tambahin Bahlil bg sama latar pertarungan nya di lahan sawit😂😹😹,5
tambahin bahlil armor etanol sama prabowo armor sawit,5
bagus bangat,5
mantap wajib coba,5
"game nya simple, tapi bikin nagih sumpah tapi aku gak nemu tombol pause dan ternyata ngepause nya pake tombol setting dong🗿",5
anjir presiden bisa pertarungan njir,5
saya udah namatin game ini jujur game ini seru tapi level 9 dibuat lebih ngotak dulu gua make 50 bodyguard masih kalah,5
game nya bagus ku kasih bintang lima,1
game nya molyono jir,5
pria solo itu membawa beceng baiklah kan ku beri kau bintang lima,5
wow jangan lupa tambah kan fitur nanam sawit nya ya wok dan tambah kan juga Bahlil udah itu aja wok,5
aku ngansik bintang 5 karena bagus dan juga gak selalu tidak iklan 😁😁😁,5
game burik pelindung kita hilang kalau ditinggal,1
dipaksa rate,2
tambahkan karakter bahlil,5
"seru banget gamenya walapun simpel👍👍 tapi hd in dikit lagi grafiknya, selebihnya udah bagus kata aku",5
tambah Bahlil bang🗿,5
gang seru,5
"Gw udah selesaikan semua level, levelnya kurang banyak tambahin lah levelnya gamenya seru dan bagus tapi levelnya kok cuman 9 sama tambahin final boss kek atau apa kurang menantang",5
hidup jokowiiiiii,5
game ini sangat bagus tapi tolong di abdet lagi,5
gamenya gak ngotak,1
"saran gw si, ni game bagus sebenernya, tapi tambahin fitur semacem dash yg bisa Dodge serangan musuh gitu bagus harusnya, di stage 3 aja gw kewalahan ngelawan musuh rame gitu, soalnya animasi serangan yg gabisa di cancel, ngebikin gw ditembakin Mulu Ampe mati",4
"game nya bagus, simple, ramah, seru, cocok main sama sepupu. (tapi boonk😹😹)",1
mantap ada fufufafa tapi ada sahroni gk mati mati,3
"game nya bagus banget sumpah,gua sampe ga download",1
"Bagus, tapi kalo bisa pas musuhnya kelempar kebelakang masih bisa dipukul biar bisa combo kayak dmc, kan gokil sama juga bisa combo aerial juga pas lagi di udara mwehehehehe",5
game nya sangat bagus dan saya ingin kesoli sebagai rakyat biasa,5
"game nya bagus banget bg , jangan semangat 😁😹",1
"game apa ini berad banget. jangan donglot bagi yang hapenya kentang...... (btw, bintang lima. good game)",1
lebih seru kalo gamenya bisa mabar,3
game nya bagus kece badai jadi gw kasih bintang 10 karna gw sigggma mewing skibidiy 😹😹🤓🤓🤓🤓🤩🤩💀💀🥶🥶🤫🤫🤫🤫🥴🥴🥴😋😋😋😋😹🤓😹🤓😹🤓🤓😹🤓,2
game nya seru tapi karakternya kurang banyak coba tambahin lagi kaya bahlil dll pasti keren dan tambahin lagi musuh nya kaya ambaruwo dlm,4
game nya bagus guwa kasih bintang 5 plus sigma😈😈😈🤚🤚🤚🤚,1
bgus sih tpi sayang grafiknya buriq kek ep ep🗿🙏🙏,5
"gamenya sangat bagus dan sangat jarang ada game petualangan tentang Jokowi tapi tolong tambahin Karakter bapak Jokowi, ibu Jokowi, anak Jokowi, kakek Jokowi, nenek Jokowi, kakek buyut Jokowi, nenek buyut Jokowi, Sudara Jokowi, teman Jokowi, sahabat Jokowi, pacarnya Jokowi, followers Jokowi, teman dekatnya Jokowi, dan dll. dan tolong tambahin juga fitur mode depo, grafik anime, mode penghemat data, anti korup, multiplayer, online, mode survival, hardcore, mode sejarah, sedikit aja 🥰",5
sherlok tak parani 😹😹😹😹😹,5
"KEREN SEKALI, SAYA SAMPAI KEKAMAR MANDI 10X. INI GAME YANG SANGAT COCOK DIMAINKAN OLEH ANAK MUDA YANG SANG"" SAMA JOKOWAI",5
gime ny jwlek ad bokep nta,1
bg gemnya kok gk ada fitur Telkomsel? 🥀🥀🥀🥀🥀😈😈😈😈😈,1
