epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8654,1.72018,4.23483,1.71475,0.29177,0.48626,0.31314,0.18088,1.57754,4.03319,1.83645,0.0001375,0.0001375,0.0001375
2,38.0479,1.65377,2.48579,1.62298,0.54949,0.75694,0.71642,0.37221,1.68503,3.31558,1.68124,0.000280384,0.000280384,0.000280384
3,44.1172,1.54788,1.81396,1.51553,0.51426,0.36329,0.46183,0.27091,1.79192,3.17303,1.84276,0.000415844,0.000415844,0.000415844
4,48.8763,1.52345,1.54256,1.50756,0.53343,0.72917,0.72341,0.41057,1.51831,2.28907,1.67412,0.000543878,0.000543878,0.000543878
5,54.8688,1.62299,1.41991,1.53567,0.54111,0.71877,0.71462,0.42697,1.5719,2.1048,1.82562,0.000664488,0.000664488,0.000664488
6,60.3545,1.57209,1.25877,1.47264,0.76094,0.58472,0.75381,0.44276,1.52537,1.5327,1.78077,0.000777672,0.000777672,0.000777672
7,66.5461,1.54624,1.18954,1.45347,0.4595,0.46173,0.47353,0.21455,2.08302,2.37758,3.00252,0.000883431,0.000883431,0.000883431
8,72.0492,1.63456,1.29936,1.54841,0.45374,0.30903,0.33668,0.17472,1.81983,2.76854,2.01665,0.000981766,0.000981766,0.000981766
9,77.1048,1.6621,1.20938,1.56725,0.53736,0.68909,0.65134,0.2936,1.88684,1.79874,2.04542,0.0010025,0.0010025,0.0010025
10,82.9651,1.52086,1.10884,1.44359,0.53395,0.50987,0.4892,0.20917,2.05466,2.19388,2.33253,0.000971562,0.000971562,0.000971562
11,88.3993,1.51787,1.08339,1.44974,0.6191,0.66149,0.72919,0.39114,1.75016,1.37499,2.09276,0.000940625,0.000940625,0.000940625
12,94.1746,1.50752,1.09261,1.44548,0.70507,0.60595,0.64881,0.37263,1.57647,1.93215,1.70493,0.000909688,0.000909688,0.000909688
13,99.5616,1.43324,1.02299,1.39406,0.69019,0.80456,0.80272,0.47771,1.587,1.25792,1.71711,0.00087875,0.00087875,0.00087875
14,105.227,1.42014,0.9903,1.3781,0.66628,0.82758,0.82428,0.50663,1.48032,1.06324,1.6051,0.000847813,0.000847813,0.000847813
15,110.707,1.44749,0.96383,1.36936,0.76265,0.80805,0.83122,0.45735,1.53401,1.33869,1.65696,0.000816875,0.000816875,0.000816875
16,115.648,1.41812,0.90957,1.39115,0.71972,0.63634,0.73824,0.43345,1.49143,1.38762,1.6606,0.000785938,0.000785938,0.000785938
17,121.562,1.33634,0.87297,1.37908,0.81796,0.66652,0.79915,0.45266,1.54413,1.3676,1.63286,0.000755,0.000755,0.000755
18,126.812,1.34251,0.94464,1.37068,0.66277,0.75694,0.76566,0.43414,1.53974,1.15687,1.64243,0.000724062,0.000724062,0.000724062
19,132.387,1.32404,0.87423,1.3229,0.77212,0.82639,0.82787,0.49634,1.46894,1.00161,1.59359,0.000693125,0.000693125,0.000693125
20,137.976,1.26282,0.84776,1.26935,0.84899,0.87306,0.8742,0.48947,1.55122,0.99387,1.65407,0.000662188,0.000662188,0.000662188
21,143.142,1.30589,0.85597,1.33691,0.75444,0.88542,0.82729,0.50996,1.45647,1.04015,1.60515,0.00063125,0.00063125,0.00063125
